STATE/UT,DISTRICT,YEAR,MURDER,CULPABLE HOMICIDE,RAPE,KIDNAPPING & ABDUCTION,DACOITY,ROBBERY,BURGLARY,THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,DOWRY DEATHS,ASSAULT ON WOMEN,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,,,,,
HARYANA,TOTAL,2006,873,59,608,635,104,410,4001,10518,1142,750,1424,255,486,491,2254,,,,,
HIMACHAL PRADESH,TOTAL,2006,111,20,113,130,7,29,754,812,566,137,129,3,275,31,259,,,,,
JAMMU & KASHMIR,TOTAL,2006,487,40,250,789,10,112,1351,1937,1197,123,463,10,960,347,135,,,,,
JHARKHAND,TOTAL,2006,1492,97,799,635,536,779,1428,6173,2650,319,833,281,414,44,668,,,,,
KARNATAKA,TOTAL,2006,1627,68,400,563,202,1349,5967,14901,6183,471,2910,244,1683,38,2129,,,,,
KERALA,TOTAL,2006,393,87,601,294,129,691,4245,5431,6365,299,3316,25,2543,222,3708,,,,,
MADHYA PRADESH,TOTAL,2006,2309,138,2900,808,151,1770,10960,21733,2308,519,1522,764,6243,762,2989,,,,,
MAHARASHTRA,TOTAL,2006,2656,100,1500,1261,663,2574,15877,46473,7453,1726,6234,387,3479,984,6738,,,,,
MANIPUR,TOTAL,2006,205,4,40,130,2,8,55,290,60,40,82,0,42,0,10,,,,,
MEGHALAYA,TOTAL,2006,157,8,74,57,57,65,140,470,7,16,83,6,57,0,13,,,,,
MIZORAM,TOTAL,2006,25,7,72,6,7,10,422,758,0,30,78,0,51,0,1,,,,,
NAGALAND,TOTAL,2006,123,8,23,31,16,84,70,327,7,18,37,0,3,2,3,,,,,
ODISHA,TOTAL,2006,1159,36,985,704,239,1184,3120,6567,1535,313,1364,457,2415,247,694,,,,,
PUNJAB,TOTAL,2006,817,165,442,591,35,142,2277,3946,3,281,3393,130,314,60,801,,,,,
RAJASTHAN,TOTAL,2006,1209,79,1085,1970,37,631,5085,17889,1767,694,10191,394,2582,31,7038,,,,,
SIKKIM,TOTAL,2006,21,2,20,8,0,9,84,113,12,10,37,0,14,0,6,,,,,
TAMIL NADU,TOTAL,2006,1363,20,457,906,95,450,3300,13651,1838,194,2116,187,1179,852,1248,,,,,
TRIPURA,TOTAL,2006,154,1,189,105,18,71,182,392,154,23,84,35,207,0,471,,,,,
UTTAR PRADESH,TOTAL,2006,5480,1543,1314,3318,218,2024,4577,20447,3774,2509,5142,1798,2096,2714,5204,,,,,
UTTARAKHAND,TOTAL,2006,274,40,147,212,31,157,470,1696,489,95,514,80,153,113,358,,,,,
WEST BENGAL,TOTAL,2006,1425,401,1731,1355,177,426,601,12532,2385,519,1947,445,1837,63,7414,,,,,
A & N ISLANDS,TOTAL,2006,4,1,6,5,0,5,82,101,10,3,15,0,14,4,7,,,,,
CHANDIGARH,TOTAL,2006,12,8,19,65,1,34,189,1234,44,59,232,10,20,13,102,,,,,
D & N HAVELI,TOTAL,2006,9,1,6,18,5,5,41,61,8,30,10,1,5,1,5,,,,,
DAMAN & DIU,TOTAL,2006,6,0,3,3,8,1,60,63,24,9,3,0,2,0,2,,,,,
DELHI,TOTAL,2006,476,75,623,1442,14,541,1950,17498,87,442,2313,137,718,144,1728,,,,,
LAKSHADWEEP,TOTAL,2006,0,0,0,0,0,0,2,17,12,0,0,0,0,0,1,,,,,
PUDUCHERRY,TOTAL,2006,30,3,9,18,2,3,84,560,194,6,36,3,56,39,19,,,,,
ANDHRA PRADESH,TOTAL,2007,2665,135,1070,2097,170,614,7677,24391,1998,869,8103,613,4406,3316,11335,,,,,
ARUNACHAL PRADESH,TOTAL,2007,68,2,48,68,16,75,240,513,16,41,33,0,72,1,20,,,,,
ASSAM,TOTAL,2007,1374,109,1437,1971,299,496,2603,7754,2601,653,895,100,789,10,3000,,,,,
BIHAR,TOTAL,2007,3034,257,1555,2530,686,1787,3259,11795,7962,1326,2358,1172,853,12,1635,,,,,
CHHATTISGARH,TOTAL,2007,1097,26,982,244,115,427,3632,5381,881,150,467,100,1549,111,824,,,,,
GOA,TOTAL,2007,33,7,20,12,7,22,292,494,70,36,55,2,20,7,14,,,,,
GUJARAT,TOTAL,2007,1166,21,316,1312,245,1095,4870,18164,1668,1139,1116,42,822,120,5827,,,,,
HARYANA,TOTAL,2007,911,72,488,801,139,502,4231,11047,1173,726,1232,269,417,409,2412,,,,,
HIMACHAL PRADESH,TOTAL,2007,127,9,159,171,5,23,877,1092,649,132,212,8,322,33,342,,,,,
JAMMU & KASHMIR,TOTAL,2007,318,23,288,758,18,111,1460,2086,1209,121,489,9,986,353,176,,,,,
JHARKHAND,TOTAL,2007,1617,92,855,762,524,771,1495,7091,2565,448,814,303,342,15,801,,,,,
KARNATAKA,TOTAL,2007,1538,55,436,680,178,1313,5449,14351,5783,400,3600,251,1828,28,2507,,,,,
KERALA,TOTAL,2007,367,92,512,255,121,869,4100,5609,7358,394,4215,27,2624,262,3999,,,,,
MADHYA PRADESH,TOTAL,2007,2244,155,3010,922,143,1975,11230,22396,2648,531,1661,742,6772,780,3294,,,,,
MAHARASHTRA,TOTAL,2007,2693,113,1451,1312,716,2770,15607,47681,7993,1715,6235,436,3306,1039,7356,,,,,
MANIPUR,TOTAL,2007,240,2,20,150,3,11,70,454,70,19,93,0,70,0,15,,,,,
